Date,Stock Name,sentiment_score
2015-01-01,AAPL,0.038772186600793165
2015-01-01,AMZN,-0.25542064424504646
2015-01-01,GOOG,0.002922439978768428
2015-01-01,MSFT,0.03042150083584366
2015-01-01,TSLA,0.10558366019636242
2015-01-02,AAPL,0.035188305634530445
2015-01-02,AMZN,0.006094705431197567
2015-01-02,GOOG,0.06451831875347125
2015-01-02,MSFT,0.03897613801375449
2015-01-02,TSLA,0.016326002269260474
2015-01-03,TSLA,0.09567906746815424
2015-01-03,GOOG,0.05688139943612252
2015-01-03,MSFT,0.0831296947997821
2015-01-03,AAPL,0.06436035390391494
2015-01-03,AMZN,0.1178860056193184
2015-01-04,AAPL,0.04837695618958345
2015-01-04,AMZN,0.01108189143021317
2015-01-04,GOOG,0.03671827788970073
2015-01-04,MSFT,0.12311512708444805
2015-01-04,TSLA,0.02563634879985138
2015-01-05,AAPL,0.024743468499861806
2015-01-05,AMZN,0.038873835922520465
2015-01-05,GOOG,0.04100679203621903
2015-01-05,MSFT,0.11294914646922345
2015-01-05,TSLA,0.013423690914089303
2015-01-06,TSLA,0.009151542035397142
2015-01-06,GOOG,0.026866232731156167
2015-01-06,MSFT,0.08621860597019967
2015-01-06,AAPL,0.04808153547777035
2015-01-06,AMZN,0.06429809755736111
2015-01-07,AAPL,0.0601816952894263
2015-01-07,AMZN,0.03667352158701066
2015-01-07,GOOG,0.029042794813037093
2015-01-07,MSFT,0.045523311620027845
2015-01-07,TSLA,0.030133346117855536
2015-01-08,AAPL,0.08969780950367849
2015-01-08,AMZN,0.013907417616005554
2015-01-08,GOOG,0.003316556161060987
2015-01-08,MSFT,0.03866751124359556
2015-01-08,TSLA,0.008145808520092935
2015-01-09,GOOG,0.030872760506879007
2015-01-09,TSLA,-0.006512271425917857
2015-01-09,MSFT,0.059961038952072464
2015-01-09,AMZN,0.020854342865144333
2015-01-09,AAPL,0.06768115160512819
2015-01-10,AAPL,0.09132158552081539
2015-01-10,AMZN,0.09712999404751156
2015-01-10,GOOG,0.06310641255562102
2015-01-10,MSFT,0.10853104529181315
2015-01-10,TSLA,0.03944050821178045
2015-01-11,AAPL,0.08400447580808153
2015-01-11,AMZN,0.17510345676698938
2015-01-11,GOOG,0.08555872198360573
2015-01-11,MSFT,0.15260227173566818
2015-01-11,TSLA,0.055298627264076666
2015-01-12,TSLA,-0.013241529477276272
2015-01-12,MSFT,0.09424681122708198
2015-01-12,AAPL,0.05366506811326287
2015-01-12,AMZN,0.06494783127639929
2015-01-12,GOOG,-0.02603876255467752
2015-01-13,AAPL,0.09232119800751681
2015-01-13,AMZN,0.12696869308174052
2015-01-13,GOOG,0.021296275573357296
2015-01-13,MSFT,0.20288983289708173
2015-01-13,TSLA,-0.10292817933119316
2015-01-14,MSFT,0.04909409922585497
2015-01-14,GOOG,0.05195877888914326
2015-01-14,TSLA,-0.06045816341630503
2015-01-14,AAPL,0.025565656461901138
2015-01-14,AMZN,0.07330363685540645
2015-01-15,AAPL,-0.006547630282397336
2015-01-15,AMZN,0.015363164006599359
2015-01-15,GOOG,0.014736349860181287
2015-01-15,MSFT,0.03964801841239269
2015-01-15,TSLA,-0.023475434154712243
2015-01-16,AAPL,0.017136584434558563
2015-01-16,AMZN,0.016353805587042747
2015-01-16,GOOG,0.014712534956995723
2015-01-16,MSFT,0.06182134292914339
2015-01-16,TSLA,0.00019596581665897055
2015-01-17,MSFT,0.09117346081327189
2015-01-17,GOOG,0.03911843895512461
2015-01-17,TSLA,-0.02213072605920419
2015-01-17,AAPL,0.015830605567941452
2015-01-17,AMZN,-0.014774388108561014
2015-01-18,AAPL,0.04504832290762732
2015-01-18,AMZN,0.052460481714759324
2015-01-18,GOOG,0.045799993398323864
2015-01-18,MSFT,0.17950393723684452
2015-01-18,TSLA,0.0026947275314125278
2015-01-19,AAPL,0.01986695637214019
2015-01-19,AMZN,0.05800814444136595
2015-01-19,GOOG,0.03631212714905806
2015-01-19,MSFT,0.09246489066440104
2015-01-19,TSLA,3.164951649910592e-05
2015-01-20,TSLA,-0.002481212402714321
2015-01-20,MSFT,0.06414366633052358
2015-01-20,GOOG,0.03411544259205429
2015-01-20,AAPL,0.05791337362644346
2015-01-20,AMZN,0.0674486892392227
2015-01-21,AAPL,0.0836708119423646
2015-01-21,AMZN,0.072452432208968
2015-01-21,GOOG,0.07189328875318643
2015-01-21,MSFT,0.056119760817412725
2015-01-21,TSLA,0.02969823680078126
2015-01-22,AAPL,0.052773752581145215
2015-01-22,AMZN,0.0406844091228456
2015-01-22,GOOG,0.06433396151311002
2015-01-22,MSFT,0.07152968692344241
2015-01-22,TSLA,0.04371070693359841
2015-01-23,TSLA,-0.0011754911842249464
2015-01-23,MSFT,0.12191349485268195
2015-01-23,AAPL,0.056090791537761205
2015-01-23,AMZN,0.039077712010526865
2015-01-23,GOOG,0.061345377431510466
2015-01-24,AAPL,0.07013479023364491
2015-01-24,AMZN,0.05554867625048682
2015-01-24,GOOG,0.0620164728554135
2015-01-24,MSFT,0.08591890641553111
2015-01-24,TSLA,0.01606199794448912
2015-01-25,AAPL,0.06613566162568464
2015-01-25,AMZN,0.09665984096936882
2015-01-25,GOOG,0.102105872577234
2015-01-25,MSFT,0.09606910844677655
2015-01-25,TSLA,0.017557837393914543
2015-01-26,TSLA,0.04631090252349774
2015-01-26,MSFT,-0.0209562325122884
2015-01-26,AAPL,0.07044446160520071
2015-01-26,AMZN,0.030368280556642126
2015-01-26,GOOG,0.04702765665295896
2015-01-27,AAPL,0.10364982493161422
2015-01-27,AMZN,0.04931693828404553
2015-01-27,GOOG,0.03855499662848519
2015-01-27,MSFT,-0.10610572522501358
2015-01-27,TSLA,0.0191193916971277
2015-01-28,MSFT,0.048905793960585975
2015-01-28,GOOG,0.02889286558220693
2015-01-28,TSLA,0.019375064131292002
2015-01-28,AAPL,0.11333870410114559
2015-01-28,AMZN,0.07917698723695323
2015-01-29,TSLA,0.019904047941728946
2015-01-29,MSFT,0.009087538165457053
2015-01-29,AAPL,0.052620569828363085
2015-01-29,AMZN,0.09945830648441763
2015-01-29,GOOG,0.003681421470405026
2015-01-30,AAPL,0.0646928281768403
